Campaign name	Campaign ID	Product ID	Creative type	Video title	Video ID	TikTok account	Time posted	Status	Exploration secondary status	Authorization type	Cost	SKU orders	Cost per order	Gross revenue	Product ad impressions	Product ad clicks	Product ad click rate	Ad conversion rate	2-second ad video view rate	6-second ad video view rate	25% ad video view rate	50% ad video view rate	75% ad video view rate	100% ad video view rate	Currency
SPEAKER STAND	1872055844656625	1732351723821961262	Product card	-	N/A	-	-	Exploring	Exploring	N/A	7.185	1	7.185	37.990	7331	150	2.05%	0.00%	-	-	-	-	-	-	USD
KEYBORARD STAND BENCH COMBO	1872051299399841	1731036632300884014	Product card	-	N/A	-	-	Exploring	Exploring	N/A	0.292	1	0.292	36.990	71	0	0.00%	0.00%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1732351727318437934	Product card	-	N/A	-	-	Exploring	Exploring	N/A	8.049	1	8.049	35.990	7331	152	2.07%	0.00%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1732321200501198894	Product card	-	N/A	-	-	Exploring	Exploring	N/A	6.665	1	6.665	33.990	7213	158	2.19%	0.00%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1731768222026862638	Product card	-	N/A	-	-	Exploring	Exploring	N/A	5.853	1	5.853	32.990	6787	134	1.97%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1731768237848236078	Product card	-	N/A	-	-	Exploring	Exploring	N/A	4.494	1	4.494	32.990	4262	72	1.69%	0.00%	-	-	-	-	-	-	USD
DESKTOP MIC	1871983617697873	1730952076306714670	Video	Sturdy, adjustable, and ready for your setup 🎶 5CORE Desktop Mic Stand | Tripod Tabletop Holder | Perfect for podcasts, streaming & home studios 🛒 #5CoreAudio #MicStand #DesktopMicStand #PodcastSetup #StreamingGear #HomeStudio #ProAudio #TikTokShop #CreatorTools #TikTokMadeMeBuyIt	7541478009643994382	5 Core Inc	2025-08-24 19:00	Explored	Performing	TikTok Shop official account	55.843	4	13.961	32.160	2025	46	2.27%	8.70%	21.73%	7.74%	3.24%	1.81%	1.59%	0.99%	USD
SPEAKER STAND	1872055844656625	1731793178461573166	Product card	-	N/A	-	-	Exploring	Exploring	N/A	6.754	1	6.754	31.990	7354	148	2.01%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1731768231938854958	Product card	-	N/A	-	-	Exploring	Exploring	N/A	4.399	1	4.399	31.990	4119	67	1.63%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1731768229364076590	Product card	-	N/A	-	-	Exploring	Exploring	N/A	0.150	1	0.150	30.990	342	1	0.29%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1731768229364076590	Video	About Item: 【Height Adjustable Mic Stand】– Easily raise or lower the microphone position from 18 to 72 inches, making it perfect for both stage and studio use. 【Extendable Boom】– 29.5-inch overhead telescoping arm with crossbar adjustment. Rotates 180 degrees for precise positioning. 【Super Tough Build】– This pedestal para micrófono features durable metal construction, reinforced joints, and a clutch system, supporting up to 4.5 lbs. 【Super Stable Mic Stand】– Tripod legs provide excellent stability, while the wider base prevents tipping, even on uneven surfaces. 【Portable Design】– Folds and assembles in minutes, making it easy to carry and store in compact spaces. Product Description Improve your performance with our height-adjustable tripod boom mic stand, offering a range from 18 inches to 72 inches. The extendable boom arm has a length of 29.5 inches, and it can rotate 180 degrees, providing versatile positioning. Built from heavy-duty metal, this microphone boom stand features sturdy legs with rubber caps, ensuring stability on any surface. Its reinforced clutch supports up to 4.5 lbs. Designed for convenience, the pedestal para microfono collapses for easy assembly and storage, making it highly portable. Enhance your audio setup with this reliable, adjustable, and portable floor mic stand. Important Note- Kindly place the boom arm parallel to the leg for maximum stability. Features UNIVERSAL MIC HOLDER ANGLE ADJUSTMENT WIRE MANAGEMENT FOLDABLE TRIPOD The included clip in the package accommodates most handheld dynamic microphones. It also features an anti-slip design. The boom arm rotates up-to 180 degrees, making it perfect for use during standing or while seated. Ideal for kids and adults. The boom mic stand comes with wire clip. It helps to eliminate loose cables and tidy up setup. Also reduce any trip hazard. The tripod legs offer great stability and increased weight capacity. They are also foldable to ensure easy carrying. Technical Specification: Color: Red Build Material- Metal Maximum Tripod Height- 18 Inch Minimum Tripod Height- 72 Inch Boom Arm Length- 29.5 Inch Package Includes: 2x Tripod Mic Stand 2x Mic Holder 2x Windscreen foam 2x Screw ...	7620962051770305805	5 Core Inc	2026-03-24 18:05	Ineligible	Authorization needed	N/A	0.000	1	0.000	30.990	0	0	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	USD
ROUND BASE MIC STAND	1872069420204498	1730941357489295406	Product card	-	N/A	-	-	Exploring	Exploring	N/A	105.004	1	105.004	30.220	8110	76	0.94%	0.00%	-	-	-	-	-	-	USD
A FRAME GUITAR STAND	1872069106454578	1730947820494557230	Product card	-	N/A	-	-	Exploring	Exploring	N/A	6.479	2	3.239	28.860	2122	26	1.23%	0.00%	-	-	-	-	-	-	USD
KEYBOARD STAND	1872054276884850	1730947676153090094	Product card	-	N/A	-	-	Exploring	Exploring	N/A	13.816	1	13.816	26.990	12938	226	1.75%	0.44%	-	-	-	-	-	-	USD
A FRAME GUITAR STAND	1872069106454578	1730947837900066862	Video	Save space and stay organized with this double guitar stand that securely holds two instruments at once. Built with a heavy-duty steel A-frame and reinforced joints, it’s designed for long-lasting performance at home, in the studio, or on stage. Non-slip rubber feet provide strong stability, while soft padding on all contact points protects your guitars from scratches and dents. The adjustable width design fits a wide range of instruments including acoustic, electric, bass guitars, and ukuleles, making it a versatile addition to any setup. #guitarstand #doubleguitarstand #guitaraccessories #guitargear #musiciansoftiktok #guitartok #guitarsetup #homestudio #musicgear #acousticguitar #electricguitar #bassguitar #ukulele #bandlife #gigsetup #musiclife #guitarplayer #instrumentcare #musicstudio #stagegear #guitarlovers	7631621393582476557	5 Core Inc	2026-04-22 11:29	Explored	Performing	TikTok Shop official account	123.480	1	123.480	24.990	3385	76	2.25%	1.32%	26.79%	9.84%	5.36%	2.38%	1.26%	0.63%	USD
SPEAKER STAND	1872055844656625	1732263674208161838	Product card	-	N/A	-	-	Exploring	Exploring	N/A	10.421	1	10.421	24.990	7820	166	2.12%	0.00%	-	-	-	-	-	-	USD
A FRAME GUITAR STAND	1872069106454578	1730947833427759150	Video	About Item: 【Height Adjustable Mic Stand】– Easily raise or lower the microphone position from 18 to 72 inches, making it perfect for both stage and studio use. 【Extendable Boom】– 29.5-inch overhead telescoping arm with crossbar adjustment. Rotates 180 degrees for precise positioning. 【Super Tough Build】– This pedestal para micrófono features durable metal construction, reinforced joints, and a clutch system, supporting up to 4.5 lbs. 【Super Stable Mic Stand】– Tripod legs provide excellent stability, while the wider base prevents tipping, even on uneven surfaces. 【Portable Design】– Folds and assembles in minutes, making it easy to carry and store in compact spaces. Product Description Improve your performance with our height-adjustable tripod boom mic stand, offering a range from 18 inches to 72 inches. The extendable boom arm has a length of 29.5 inches, and it can rotate 180 degrees, providing versatile positioning. Built from heavy-duty metal, this microphone boom stand features sturdy legs with rubber caps, ensuring stability on any surface. Its reinforced clutch supports up to 4.5 lbs. Designed for convenience, the pedestal para microfono collapses for easy assembly and storage, making it highly portable. Enhance your audio setup with this reliable, adjustable, and portable floor mic stand. Important Note- Kindly place the boom arm parallel to the leg for maximum stability. Features UNIVERSAL MIC HOLDER ANGLE ADJUSTMENT WIRE MANAGEMENT FOLDABLE TRIPOD The included clip in the package accommodates most handheld dynamic microphones. It also features an anti-slip design. The boom arm rotates up-to 180 degrees, making it perfect for use during standing or while seated. Ideal for kids and adults. The boom mic stand comes with wire clip. It helps to eliminate loose cables and tidy up setup. Also reduce any trip hazard. The tripod legs offer great stability and increased weight capacity. They are also foldable to ensure easy carrying. Technical Specification: Color: Red Build Material- Metal Maximum Tripod Height- 18 Inch Minimum Tripod Height- 72 Inch Boom Arm Length- 29.5 Inch Package Includes: 2x Tripod Mic Stand 2x Mic Holder 2x Windscreen foam 2x Screw ...	7620962051770305805	5 Core Inc	2026-03-24 18:05	Ineligible	Authorization needed	N/A	0.000	1	0.000	24.990	0	0	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	USD
SPEAKER STAND	1872055844656625	1731768293833347118	Video	"Upgrade your audio setup with this adjustable height speaker stand designed for professional performance and stability. Extending from 31 to 54 inches, it allows precise speaker positioning for DJs, live events, studio sessions, and stage use. Built with heavy-duty steel construction, it supports up to 132 lbs, making it ideal for PA systems, large speakers, and studio monitors.

The universal 35mm pole ensures compatibility with most speakers on the market, while the secure locking pin and tension knob keep your equipment safely in place. Featuring a wide tripod base with 380mm legs, this stand delivers excellent balance and reliability on any surface. #speakerstand #djgear #audiosetup #pamonitor #soundsystem #djsetup #studiogear #livemusicgear #eventsetup #professionalaudio #tripodstand #djlife #musicproduction #stageequipment #audiogear #contentcreatorgear #homestudio #soundequipment #usmarket #tiktokshop"	7632010053561699598	5 Core Inc	2026-04-23 12:37	Explored	Performing	TikTok Shop official account	46.670	1	46.670	23.990	1382	45	3.26%	2.22%	37.28%	15.83%	9.90%	5.03%	2.85%	1.28%	USD
KEYBOARD STAND	1872054276884850	1731036643762999342	Product card	-	N/A	-	-	Exploring	Exploring	N/A	14.396	1	14.396	23.990	13579	216	1.59%	0.46%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1731768294495981614	Video	"Upgrade your audio setup with this adjustable height speaker stand designed for professional performance and stability. Extending from 31 to 54 inches, it allows precise speaker positioning for DJs, live events, studio sessions, and stage use. Built with heavy-duty steel construction, it supports up to 132 lbs, making it ideal for PA systems, large speakers, and studio monitors.

The universal 35mm pole ensures compatibility with most speakers on the market, while the secure locking pin and tension knob keep your equipment safely in place. Featuring a wide tripod base with 380mm legs, this stand delivers excellent balance and reliability on any surface. #speakerstand #djgear #audiosetup #pamonitor #soundsystem #djsetup #studiogear #livemusicgear #eventsetup #professionalaudio #tripodstand #djlife #musicproduction #stageequipment #audiogear #contentcreatorgear #homestudio #soundequipment #usmarket #tiktokshop"	7632009394246389006	5 Core Inc	2026-04-23 12:34	Explored	Performing	TikTok Shop official account	22.312	1	22.312	23.990	746	23	3.08%	4.35%	40.95%	17.41%	11.42%	5.85%	3.20%	1.39%	USD
SPEAKER STAND	1872055844656625	1731768294495981614	Product card	-	N/A	-	-	Exploring	Exploring	N/A	8.293	1	8.293	23.990	8147	160	1.96%	0.00%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1730941331605852206	Product card	-	N/A	-	-	Exploring	Exploring	N/A	5.843	1	5.843	23.990	4489	96	2.14%	0.00%	-	-	-	-	-	-	USD
KEYBOARD STAND	1872054276884850	1731036646228922414	Product card	-	N/A	-	-	Exploring	Exploring	N/A	13.103	1	13.103	23.990	13083	208	1.59%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1730941380462940206	Product card	-	N/A	-	-	Exploring	Exploring	N/A	3.122	1	3.122	22.990	3790	60	1.58%	1.67%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1731757086949347374	Product card	-	N/A	-	-	Exploring	Exploring	N/A	4.622	1	4.622	22.990	4041	69	1.71%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1730941376522784814	Product card	-	N/A	-	-	Exploring	Exploring	N/A	3.256	1	3.256	21.990	3042	50	1.64%	0.00%	-	-	-	-	-	-	USD
KEYBOARD STAND	1872054276884850	1732321188239085614	Product card	-	N/A	-	-	Exploring	Exploring	N/A	9.048	1	9.048	20.990	9184	167	1.82%	0.00%	-	-	-	-	-	-	USD
TRIPOD GUITAR STAND	1872023345120273	1730947807875076142	Product card	-	N/A	-	-	Exploring	Exploring	N/A	28.578	1	28.578	17.040	11318	180	1.59%	0.56%	-	-	-	-	-	-	USD
A FRAME GUITAR STAND	1872069106454578	1731762729107230766	Product card	-	N/A	-	-	Exploring	Exploring	N/A	4.470	1	4.470	16.600	1716	18	1.05%	0.00%	-	-	-	-	-	-	USD
A FRAME GUITAR STAND	1872069106454578	1732321191190564910	Video	"This heavy-duty A frame metal guitar stand floor offers unparalleled stability and durability with its thick steel construction and reinforced welded joints. Adjustable to fit acoustic, electric, ukulele, and bass guitars, this guitar support features soft padding to protect against scratches and dents.

Anti-slip rubberized feet ensure your instrument stays secure. The folding guitar stand is easy to use, requiring no special tools for setup, and collapses for convenient portability. Designed for longevity with anti-corrosion paint, this A frame guitar holder provides a secure cradle arm to hold any guitar size. Perfect for musicians seeking a reliable and portable solution to safely display and store their instruments. #gymbagessentials #customgrips #pickleballpaddlereview #golfgadgets #motorcyclestand #schecterguitars #golfequipmentreview #bestphoneholder #tabletholderstand #heavydutybackdropstand #GuitarStand #GuitarAccessories #MusicGear #HomeStudioSetup #ShopOnTikTok"	7636543989411286286	5 Core Inc	2026-05-05 17:51	Explored	Performing	TikTok Shop official account	34.079	1	34.079	16.490	856	27	3.15%	3.70%	26.44%	8.73%	4.19%	1.67%	1.08%	0.48%	USD
TRIPOD GUITAR STAND	1872023345120273	1730947836859945006	Video	Store like a pro 🎶 5CORE Adjustable Double Guitar Stand | Floor mount with neck holders | Perfect for acoustic, electric & bass guitars 🛒 Keep your instruments safe & organized! #5CoreAudio #GuitarStand #MusicianGear #GuitarStorage #ElectricGuitar #AcousticGuitar #BassGuitar #StudioGear #TikTokShop #TikTokMadeMeBuyIt #5core	7541870779474955575	5 Core Inc	2025-08-28 11:30	Ineligible	Authorization needed	N/A	0.000	1	0.000	16.190	0	0	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	USD
TRIPOD GUITAR STAND	1872023345120273	1730947840682004526	Product card	-	N/A	-	-	Exploring	Exploring	N/A	28.121	1	28.121	16.190	11281	179	1.59%	0.56%	-	-	-	-	-	-	USD
