Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Taxes on non-order income	Number of items sold	Province	City	Buyer Tax ID	ID card	Seller Tax ID	Product Origin
Normal Order	GSU18Y2910016BC		Pending Pickup	direct	No	No	No	No	5 Core Microphone Stand Floor 2 Mic Clips Height Adjustable	MS DBL	Black(黑色)-	MS DBL	I04n75bpgp4w	sl25042902214479763	19272428188	Pending Pickup	Stocking	Not replaced			No	2026-July-12 12:36			2026-July-22 00:59		GFUS01061627429952	GWU2607131595042818	USD	15.08	0	0	1.81	13.27	0	0	0.98	1	FLORIDA	Ormond Beach				
Normal Order	GSU18Y51N000F8E		Pending Pickup	direct	No	No	No	No	5 CORE 5Core Music Sheet Stand Adjustable Bookstand Foldable	MUS FLD 4S PNK	Pink(粉色)-	MUS FLD 4S PNK	I58bnqqa33em	sl25042957856339433	19271903308	Pending Pickup	Stocking	Not replaced			No	2026-July-12 11:53			2026-July-22 00:59		9334610990370298677812	GWU2607131626958850	USD	17.09	0	0	2.05	15.04	0	0	1.41	1	TEXAS	Nacogdoches				
Normal Order	GSU18Y460001AP2		Pending Pickup	direct	No	No	No	No	5 CORE 5Core Guitar Stool 3.15" Padded Chair W Backrest Foldable Music Seat Built In Foot Rest Guitar Stand	GSTOOL RND RED REST	Red(红色)-	GSTOOL RND RED REST	I3mmwit9lzy1fj	sh260319045576165180296	19270329713	Pending Pickup	Stocking	Not replaced			No	2026-July-12 09:33			2026-July-22 00:59		9334610990370298670196	GWU2607131626967041	USD	54.99	0	0	6.6	48.39	0	0	4.4	1	ALABAMA	Foley				
Normal Order	GSU18X61X00MYHF		Pending Pickup	direct	No	No	No	No	5 CORE Trípode ajustable para micrófono, de 31 a 76 pulgadas de altura, con brazo de micrófono giratorio 360 grados y soporte dual para micrófono - MS DBL	MS DBL	Black(黑色)-	MS DBL	I04n75bpgp4w	sl25042902214479763	19267866488	Pending Pickup	Stocking	Not replaced			No	2026-July-12 00:03			2026-July-22 00:59		GFUS01061627148480	GWU2607131587118081	USD	15.08	0	0	1.81	13.27	0	0	1.24	1	TEXAS	Missouri City				
Normal Order	GSU18X58W00N8M3		Pending Pickup	direct	No	No	No	No	5 CORE Micrófono portátil BT 2 2 piezas, micrófono portátil todo en 1 con grabadora de altavoz Microfono Inalambrico - WM SPK PNK+BLU	WM SPK PNK+BLU	PINK AND BLUE(粉色和蓝色)-	WM SPK PNK+BLU	I38e9y3aa803	se25050439269136358	19263030693	Pending Pickup	Stocking	Not replaced			No	2026-July-11 16:24			2026-July-22 00:59		GFUS01061626995264	GWU2607131581088768	USD	15.99	0	0	1.28	14.71	0	0	1.28	1	OHIO	Columbus				
Normal Order	GSU18X45N00NK3H		Pending Pickup	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLU	Blue(蓝色)-	WM SPK BLU	I08e9xp4wmek	se25050497677133391	19260231088	Pending Pickup	Stocking	Not replaced			No	2026-July-11 12:12			2026-July-22 00:59		GFUS01061626850368	GWU2607131576960000	USD	11.49	0	0	0.92	10.57	0	0	1.18	1	ILLINOIS	Chicago				
Normal Order	GSU186042004KFJ		Pending Pickup	direct	No	No	No	No	5 CORE Atril para partituras con trípode, altura ajustable, portátil y plegable, con soporte para notas y clip para luz - MUS FLD HD ACC BLK	MUS FLD HD ACC BLK	Black(黑色)-	MUS FLD HD ACC BLK	I14lipm41ucv	sl25042900160069869	19248902873	Pending Pickup	Stocking	Not replaced			No	2026-July-10 14:21			2026-July-22 00:59		GFUS01061414825472	GWU2607120455764992	USD	21.86	0	0	2.62	19.24	0	0	1.81	1	TEXAS	Houston				
Normal Order	GSU186372000CWX		Pending Pickup	direct	No	No	No	No	5 CORE Atril para partituras con trípode, altura ajustable, portátil y plegable, con soporte para notas y clip para luz - MUS FLD HD ACC BLK	MUS FLD HD ACC BLK	Black(黑色)-	MUS FLD HD ACC BLK	I14lipm41ucv	sl25042900160069869	19248660133	Pending Pickup	Stocking	Not replaced			No	2026-July-10 13:59			2026-July-22 00:59		GFUS01061414754752	GWU2607120455707648	USD	21.86	0	0	2.62	19.24	0	0	1.53	1	FLORIDA	Miami				
Normal Order	GSU18628N00MS3N		Pending Pickup	direct	No	No	No	No	5 Core Microphone Stand Floor 2 Mic Clips Height Adjustable	MS DBL	Black(黑色)-	MS DBL	I04n75bpgp4w	sl25042902214479763	19247265168	Pending Pickup	Stocking	Not replaced			No	2026-July-10 12:02			2026-July-22 00:59		9334610990370298669916	GWU2607131626967040	USD	15.08	0	0	1.81	13.27	0	0	1.13	1	FLORIDA	Pensacola				
Normal Order	GSU18521S00NJFH		Shipped	direct	No	No	No	No	5 CORE Soporte de altavoz trípode ajustable de 26 a 48 pulgadas para piso, montaje de poste corto para monitor de estudio DJ - SS HD 1 pieza 4 pies	SS HD 1PK 4FT	Black(黑色)-	SS HD 1PK 4FT	I18bt8ckvpuq	sl25042923538843880	19243121263	Shipped	Stocking	Not replaced			No	2026-July-10 05:06			2026-July-22 00:59		GFUS01061215772674	GWU2607105411138563	USD	15.42	0	0	1.85	13.57	0	0	0.93	1	DISTRICT OF COLUMBIA	Washington				
Normal Order	GSU18514T00MDXY		Shipped	direct	No	No	No	No	5 Core Keyboard Bench 3" Padded Piano Stool Adjustable 20.5"	KBB BLK HD	Black(黑色)-	KBB BLK HD	I14owex67h79	sl25050377211813347	19239798453	Shipped	Stocking	Not replaced			No	2026-July-09 21:07			2026-July-21 00:59		92346902673388000030133853	GWU2607110107645952	USD	24.99	0	0	3	21.99	0	0	2.06	1	TEXAS	Corpus Christi				
Normal Order	GSU18517T001C6H		Shipped	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLU	Blue(蓝色)-	WM SPK BLU	I08e9xp4wmek	se25050497677133391	19239541473	Shipped	Stocking	Not replaced			No	2026-July-09 20:47			2026-July-21 00:59		92346902673388000030133860	GWU2607110107572226	USD	11.49	0	0	0.92	10.57	0	0	0.95	1	TEXAS	San Antonio				
Normal Order	GSU18542Q0048Y8		Shipped	direct	No	No	No	No	5 Core Projector Stand Floor Adjustable 53" Universal Projectors Support For Home Office & Studio	PS RB 135 WH		PS RB 135 WH	I7mnuz9bs5k24l	se260412073747112379630	19239120793	Shipped	Stocking	Not replaced			No	2026-July-09 20:18			2026-July-21 00:59		92346902673388000030133839	GWU2607110107506691	USD	23.99	0	0	1.92	22.07	0	0	2.34	1	CALIFORNIA	Los Angeles				
Normal Order	GSU18542400TPTE		Shipped	direct	No	No	No	No	5 Core Microphone Stand Floor 2 Mic Clips Height Adjustable	MS DBL	Black(黑色)-	MS DBL	I04n75bpgp4w	sl25042902214479763	19238193128	Shipped	Stocking	Not replaced			No	2026-July-09 19:13			2026-July-21 00:59		GFUS01061215011200	GWU2607105411142659	USD	15.08	0	0	1.81	13.27	0	0	1.05	1	FLORIDA	Miami				
Normal Order	GSU185423001T3Q		Delivered	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLK	Black(黑色)-	WM SPK BLK	I14pnvtrhgdi	se25050403712212187	19236784218	Delivered	Stocking	Not replaced			No	2026-July-09 17:22			2026-July-21 00:59	2026-July-13 11:31	GFUS01061214955905	GWU2607105411081218	USD	11.49	0	0	0.92	10.57	0	0	1.03	1	GEORGIA	Richmond Hill				
Normal Order	GSU18510W000K47		Shipped	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLU	Blue(蓝色)-	WM SPK BLU	I08e9xp4wmek	se25050497677133391	19236511243	Shipped	Stocking	Not replaced			No	2026-July-09 16:59			2026-July-21 00:59		GFUS01061214915840	GWU2607105411007490	USD	11.49	0	0	0.92	10.57	0	0	0.8	1	FLORIDA	Hallandale				
Normal Order	GSU185301001XVW		Shipped	direct	No	No	No	No	5 CORE Projector Stand 29.5 To 71 Inch Adjustable Tripod 2 Shelves Portable Laptop Cart W Phone Holder	PS WHLS BLK	Black(黑色)-	adea71715c0e4de685d4efea3b246087	I6mk9fxisuyc7c	se260111155625910282481	19233642993	Shipped	Stocking	Not replaced			No	2026-July-09 12:47			2026-July-21 00:59		92346902673388000030133877	GWU2607110107645953	USD	26.99	0	0	2.16	24.83	0	0	1.89	1	INDIANA	Marion				
Normal Order	GSU18T47B00MGMQ		Shipped	direct	No	No	No	No	5 Core Microphone Stand Floor 2 Mic Clips Height Adjustable	MS DBL	Black(黑色)-	MS DBL	I04n75bpgp4w	sl25042902214479763	19230429513	Shipped	Stocking	Not replaced			No	2026-July-09 07:53			2026-July-21 00:59		92346902673388000030133846	GWU2607110107506692	USD	15.08	0	0	1.81	13.27	0	0	0.91	1	KENTUCKY	Winchester				
Normal Order	GSU18T51400N9U6		Shipped	direct	No	No	No	No	5 CORE Soporte de altavoz de 5 núcleos, 2 piezas, de alta resistencia, altura ajustable telescópica de 151,13 cm, base triangular con capacidad de 45,36 kg	SS TRI BASE 64 WH	White(白色)-	bf9ab012e2754ce082dbde0b9d78c985	I9mk9bcga3l4oa	se260111134851499043943	19223980228	Shipped	Stocking	Not replaced			No	2026-July-08 18:41			2026-July-18 00:59		92346902673388000029473991	GWU2607101196057603	USD	49.99	0	0	4	45.99	0	0	3.25	1	FLORIDA	Palm Springs				
Normal Order	GSU18T18300MF4E		Shipped	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK PNK+BLU	PINK AND BLUE(粉色和蓝色)-	WM SPK PNK+BLU	I38e9y3aa803	se25050439269136358	19223121418	Shipped	Stocking	Not replaced			No	2026-July-08 17:29			2026-July-18 00:59		GFUS01061032072258	GWU2607095194545152	USD	15.89	0	0	1.27	14.62	0	0	1.32	1	WASHINGTON	Mount Vernon				
Normal Order	GSU18T603001NX8		Shipped	direct	No	No	No	No	5 Core Megaphone 30W Bull Horn PA Speaker W 800Yard Range	8R-USB WoB	White(白色)-	8R-USB WoB	I08ea9tp3kri	se25050440720216001	19223067348	Shipped	Stocking	Not replaced			No	2026-July-08 17:24			2026-July-18 00:59		92346902673388000029473496	GWU2607101194096642	USD	16.14	0	0	1.29	14.85	0	0	1.21	1	KANSAS	Neodesha				
Normal Order	GSU18T21U0014VH		Shipped	direct	No	No	No	No	5 Core Mic Stand Floor Pair Universal Height Adjustable Tripod Microphone Stands W Boom Arm	MS 080 WH 2 PCS	White(白色)-	MS 080 WH 2 PCS	I8molqkansm2gp	sh260501010101455536968	19221658643	Shipped	Stocking	Not replaced			No	2026-July-08 15:18			2026-July-18 00:59		GFUS01061031945344	GWU2607095194474497	USD	22.99	0	0	2.76	20.23	0	0	1.61	1	GEORGIA	Covington				
Normal Order	GSU18T05U001LT4		Shipped	direct	No	No	No	No	5 CORE 5Core 8 Inch Guitar Speaker Amp Woofer Replacement 100W 4Ohm	WF 890 GTR	Black(黑色)-one-size(均码)	WF 890 GTR	I4cndln50xln	sh251031745023019426	19221408608	Shipped	Stocking	Not replaced			No	2026-July-08 14:54			2026-July-18 00:59		GFUS01061031846272	GWU2607095194408961	USD	14.64	0	0	1.17	13.47	0	0	0.92	1	TEXAS	Richmond				
Normal Order	GSU18T181001BR9		Shipped	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK PNK+BLU	PINK AND BLUE(粉色和蓝色)-	WM SPK PNK+BLU	I38e9y3aa803	se25050439269136358	19219981058	Shipped	Stocking	Not replaced			No	2026-July-08 12:38			2026-July-18 00:59		GFUS01061031778882	GWU2607095194348544	USD	15.89	0	0	1.27	14.62	0	0	0.95	1	MARYLAND	Silver Spring				
Normal Order	GSU18T17N00MRDY		Shipped	direct	No	No	No	No	5 Core Guitar Stand A Frame W Soft Foam Arm Non Slip Rubber For Acoustic Electric Bass Ukulele	GSS BLU	Blue(蓝色)-	GSS BLU	I084yui62rot	sl25042379389895281	19219594838	Shipped	Stocking	Not replaced			No	2026-July-08 12:01			2026-July-18 00:59		92346902673388000029473144	GWU2607101192849411	USD	11.51	0	0	1.38	10.13	0	0	0.92	1	SOUTH CAROLINA	Barnwell				
Normal Order	GSU18T490002T9F		Shipped	direct	No	No	No	No	5 Core Microphone Stand Floor 2 Mic Clips Height Adjustable	MS DBL	Black(黑色)-	MS DBL	I04n75bpgp4w	sl25042902214479763	19218345028	Shipped	Stocking	Not replaced			No	2026-July-08 10:06			2026-July-18 00:59		9334610990150189585514	GWU2607090289811458	USD	15.08	0	0	1.81	13.27	0	0	0.91	1	IDAHO	Meridian				
Normal Order	GSU18Q54B00N9YU		Shipped	direct	No	No	No	No	5 Core Keyboard Bench 3 Inch Padded Piano Stool Adjustable 20.5" Guitar Seat Heavy Duty Portable	KBB WH HD	White(白色)-	KBB WH HD	I0mqib6xx9xq66	sh260618005255270674813	19217108353	Shipped	Stocking	Not replaced			No	2026-July-08 07:56			2026-July-18 00:59		9334610990370298148473	GWU2607085448214531	USD	23.99	0	0	2.88	21.11	0	0	2.13	1	NEW YORK	Brooklyn				
Normal Order	GSU18Q54B00N9YU		Shipped	direct	No	No	No	No	5 Core Keyboard Stand X Shape Height Adjustable Foldable Portable Key Board DJ Controller Stands	KS 1X WH	White(白色)-	KS 1X WH	I7mmwetc0v1hv5	sh260319030327701597765	19217108358	Shipped	Stocking	Not replaced			No	2026-July-08 07:56			2026-July-18 00:59		9334610990150189511704	GWU2607085448214532	USD	17.84	0	0	2.14	15.7	0	0	1.58	1	NEW YORK	Brooklyn				
Normal Order	GSU18Q15A00126U		Shipped	direct	No	No	No	No	5 CORE 5 soportes de micrófono de pie con 4 piezas, ajustables en altura, trípode con brazo telescópico extensible	MS DBL G D-BLU 4pcs	Deep Blue(深蓝)-	MS DBL G D-BLU 4pcs	I2mmwem4p1pzx3	sh260319025886396337256	19216616133	Shipped	Stocking	Not replaced			No	2026-July-08 06:49			2026-July-18 00:59		9334610990150189468848	GWU2607085187707906	USD	36.99	0	0	4.44	32.55	0	0	2.59	1	FLORIDA	Miami				
Normal Order	GSU18Q199001FC4		Shipped	direct	No	No	No	No	5 Core Music Stand Adjustable Desktop Book Stands Portable Sheet Holder All Metal Foldable Bookstand	MUS FLD 4S BLK WLGT	Black(黑色)-	MUS FLD 4S BLK WLGT	I9mmwetl5a6v87	sh260319030332414937663	19216386883	Shipped	Stocking	Not replaced			No	2026-July-08 06:11			2026-July-18 00:59		9334610990370298133875	GWU2607085186661377	USD	15.66	0	0	1.88	13.78	0	0	1.1	1	FLORIDA	Mount Dora				
Normal Order	GSU18Q199001FC4		Shipped	direct	No	No	No	No	5 Core Music Stand Adjustable Desktop Book Stands Portable Sheet Holder All Metal Foldable Bookstand	MUS FLD 4S BLK WLGT	Black(黑色)-	MUS FLD 4S BLK WLGT	I9mmwetl5a6v87	sh260319030332414937663	19216386888	Shipped	Stocking	Not replaced			No	2026-July-08 06:11			2026-July-18 00:59		9334610990370298133875	GWU2607085186661377	USD	15.66	0	0	1.88	13.78	0	0	1.1	1	FLORIDA	Mount Dora				
Normal Order	GSU18Q199001FC4		Shipped	direct	No	No	No	No	5 Core Music Stand Adjustable Desktop Book Stands Portable Sheet Holder All Metal Foldable Bookstand	MUS FLD 4S BLK WLGT	Black(黑色)-	MUS FLD 4S BLK WLGT	I9mmwetl5a6v87	sh260319030332414937663	19216386893	Shipped	Stocking	Not replaced			No	2026-July-08 06:11			2026-July-18 00:59		9334610990370298133875	GWU2607085186661377	USD	15.66	0	0	1.88	13.78	0	0	1.09	1	FLORIDA	Mount Dora				
Normal Order	GSU18Q225001UEA		Delivered	direct	No	No	No	No	5 CORE Micrófono inalámbrico Bluetooth de 5 núcleos con altavoz para karaoke	WM SPK BLU	Blue(蓝色)-	WM SPK BLU	I08e9xp4wmek	se25050497677133391	19213754033	Delivered	Stocking	Not replaced			No	2026-July-07 21:49			2026-July-17 00:59	2026-July-13 11:23	GFUS01060834539712	GWU2607084534904835	USD	10.99	0	0	0.88	10.11	0	0	0.77	1	FLORIDA	Miami				
Normal Order	GSU18Q19400MHBL		Delivered	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLK	Black(黑色)-	WM SPK BLK	I14pnvtrhgdi	se25050403712212187	19211485168	Delivered	Stocking	Not replaced			No	2026-July-07 18:55			2026-July-17 00:59	2026-July-12 09:27	GFUS01060834623936	GWU2607084536545281	USD	10.99	0	0	0.88	10.11	0	0	0.69	1	TEXAS	Little Elm				
Normal Order	GSU18Q15W001FHY		Delivered	direct	No	No	No	No	5 Core Keyboard Bench 2 Inch Padded Cushioned Piano Stool Height Adjustable 19" Guitar Seat Portable	KBB 02 BLK	Black(黑色)-	KBB 02 BLK	I48dih2myf7j	sl25050362400690469	19210068158	Delivered	Stocking	Not replaced			No	2026-July-07 16:49			2026-July-17 00:59	2026-July-13 10:36	9334610990370298094763	GWU2607084803734532	USD	18.4	0	0	2.21	16.19	0	0	1.29	1	FLORIDA	Fort Lauderdale				
Normal Order	GSU18Q15W001FHY		Delivered	direct	No	No	No	No	5 Core Keyboard Stand Adapter 2 Tier Adjustable Second Extension Add On For Digital Piano Stands	KS 2T WH	White(白色)-	c742cf8cc1ee4578b07c5ff9d7fb9632	I29lt0jktv95	sh251127007208294355	19210068163	Delivered	Stocking	Not replaced			No	2026-July-07 16:49			2026-July-17 00:59	2026-July-13 10:36	9334610990150189421928	GWU2607084803734531	USD	17.4	0	0	2.09	15.31	0	0	1.21	1	FLORIDA	Fort Lauderdale				
Normal Order	GSU18Q15W001FHY		Delivered	direct	No	No	No	No	5 Core Keyboard Bench 2 Inch Padded Cushioned Piano Stool Height Adjustable 19" Guitar Seat Portable	KBB 02 BLK	Black(黑色)-	KBB 02 BLK	I48dih2myf7j	sl25050362400690469	19210068168	Delivered	Stocking	Not replaced			No	2026-July-07 16:49			2026-July-17 00:59	2026-July-13 10:36	9334610990370298094763	GWU2607084803734532	USD	18.4	0	0	2.21	16.19	0	0	1.29	1	FLORIDA	Fort Lauderdale				
Normal Order	GSU18Q632001VV6		Delivered	direct	No	No	No	No	5 Core Sheet Music Stand Foldable Adjustable Bookstand	MUS FLD BLK	Black(黑色)-	MUS FLD BLK	I88a4r34vg7n	sl25042982123074777	19207998303	Delivered	Stocking	Not replaced			No	2026-July-07 13:24			2026-July-17 00:59	2026-July-13 07:36	GFUS01060834674176	GWU2607084538118146	USD	15.51	0	0	1.86	13.65	0	0	0.97	1	MASSACHUSETTS	Marlborough				
Normal Order	GSU18Q18N000UMV		Delivered	direct	No	No	No	No	5 Core Megaphone 30W Bull Horn PA Speaker W 800Yard Range	6R	White(白色)-	6R	I18ea0hs9oqy	se25050433167929536	19207146818	Delivered	Stocking	Not replaced			No	2026-July-07 12:00			2026-July-17 00:59	2026-July-11 05:01	GFUS01060834740801	GWU2607084540409858	USD	15.19	0	0	1.22	13.97	0	0	1.26	1	NORTH CAROLINA	Charlotte				
Normal Order	GSU18Q01N00173P		Delivered	direct	No	No	No	No	5 Core Microphone Stand Floor 2 Mic Clips Height Adjustable	MS DBL	Black(黑色)-	MS DBL	I04n75bpgp4w	sl25042902214479763	19207109733	Delivered	Stocking	Not replaced			No	2026-July-07 11:56			2026-July-17 00:59	2026-July-11 11:01	GFUS01060834791872	GWU2607084542047235	USD	15.08	0	0	1.81	13.27	0	0	1.06	1	SOUTH CAROLINA	Spartanburg				
Normal Order	GSU18Q170001L48		Shipped	direct	No	No	No	No	5 CORE Micrófono portátil BT 2 2 piezas, micrófono portátil todo en 1 con grabadora de altavoz Microfono Inalambrico - WM SPK PNK+BLU	WM SPK PNK+BLU	PINK AND BLUE(粉色和蓝色)-	WM SPK PNK+BLU	I38e9y3aa803	se25050439269136358	19205946943	Shipped	Stocking	Not replaced			No	2026-July-07 09:58			2026-July-17 00:59		GFUS01060731475009	GWU2607081242698754	USD	15.89	0	0	1.27	14.62	0	0	1.31	1	TEXAS	Austin				
Normal Order	GSU18417Q0020HP		Delivered	direct	No	No	No	No	5 Core Sheet Music Stand Foldable Adjustable Bookstand	MUS FLD BLK	Black(黑色)-	MUS FLD BLK	I88a4r34vg7n	sl25042982123074777	19199707813	Delivered	Stocking	Not replaced			No	2026-July-06 19:44			2026-July-16 00:59	2026-July-12 08:27	GFUS01060669303362	GWU2607074913500162	USD	15.51	0	0	1.86	13.65	0	0	1.01	1	FLORIDA	Lake Worth				
Normal Order	GSU184082001RD3		Shipped	direct	No	No	No	No	5 Core Megaphone 30W Bull Horn PA Speaker W 800Yard Range	6R	White(白色)-	6R	I18ea0hs9oqy	se25050433167929536	19195890103	Shipped	Stocking	Not replaced			No	2026-July-06 14:16			2026-July-16 00:59		GFUS01060669247680	GWU2607074913436675	USD	15.19	0	0	1.22	13.97	0	0	1.38	1	ARIZONA	Phoenix				
Normal Order	GSU18442N001NLV		Pending Pickup	direct	No	No	No	No	5 Core Speaker Stand Pair Adjustable Heavy Duty DJ PA Stands	SS HD 1PK 4FT	Black(黑色)-	SS HD 1PK 4FT	I18bt8ckvpuq	sl25042923538843880	19194131663	Pending Pickup	Stocking	Not replaced			No	2026-July-06 11:27			2026-July-16 00:59		92346902673388000025597981	GWU2607070931077120	USD	15.42	0	0	1.85	13.57	0	0	1.27	1	TEXAS	Dallas				
Normal Order	GSU18412M00NN9N		Pending Pickup	direct	No	No	No	No	5 Core Keyboard Bench 2 Inch Padded Cushioned Piano Stool Height Adjustable 19" Guitar Seat Portable	KBB 02 BLK	Black(黑色)-	KBB 02 BLK	I48dih2myf7j	sl25050362400690469	19193800218	Pending Pickup	Stocking	Not replaced			No	2026-July-06 10:53			2026-July-16 00:59		92346902673388000025597974	GWU2607070931139585	USD	18.4	0	0	2.21	16.19	0	0	1.29	1	FLORIDA	Miramar				
